Serial_Number	Centroid_X_Coordinates	Centroid_Y_Coordinates	islandSize_by_5_in_PIXELS
170	883.056097560976	604.931707317073	82
171	883.381909547739	214.829145728643	39.8
172	900.630662020906	772.325783972125	114.8
173	909.428229665072	401.44019138756	    83.6
174	916.662027833002	720.805168986083	100.6
175	914.362831858407	1000.21681415929	45.2
176	908.921568627451	1211.98039215686	10.2
177	918.411910669975	831.707196029777	80.6
178	926.064516129032	1122.90591397849	74.4
179	935.32612312812	    612.113144758735	120.2
180	938.167728237792	870.743099787686	94.2
181	947.379928315412	120.482078853047	111.6
182	950.286573146293	837.24248496994	    99.8
183	952.767220902613	291.211401425178	84.2
184	953.96174863388	    41.2786885245902	36.6
185	955.924657534247	233.568493150685	58.4
186	957.402173913043	1058.06793478261	73.6
187	966.859531772575	1080.12040133779	59.8
188	975.881318681319	118.791208791209	91
189	975.141479099678	1256.85209003215	62.2
190	989.464831804281	97.3853211009174	65.4
191	984.6	            1192.98888888889	18
192	993.001424501424	190.128205128205	140.4
193	991.612403100775	1134.91472868217	25.8
194	999.849816849817	581.897435897436	54.6
195	1004.32835820896	755.639925373134	107.2
196	1010.13684210526	1165.54736842105	19
197	1018.80103359173	917.906976744186	77.4
198	1024.76794258373	157.33971291866	    83.6
199	1021.01421800948	556.028436018957	42.2
200	1023.14673913043	101.54347826087	    36.8
201	1040.62037037037	593.587962962963	43.2
202	1044.36014625229	1250.78062157221	109.4
203	1042.15837104072	86.5067873303167	44.2
204	1037.32727272727	976.254545454545	11
205	1052.04545454545	572.913636363636	44
206	1057.57931034483	191.347126436782	87
207	1062.4140625	    530.685546875	    102.4
208	1070.90025575448	256.406649616368	78.2
209	1094.37336814621	405.368146214099	76.6
210	1102.94651162791	780.490697674419	86
211	1106.1125	        483.65	            48
212	1118.91443850267	989.07486631016	    37.4
213	1124.96	            750.212	            50
214	1129.25306748466	93.0245398773006	130.4
215	1143.24444444444	891.722222222222	72
216	1153.22023809524	45.0297619047619	33.6
217	1156.25868725869	713.305019305019	51.8
218	1157.64653243848	406.418344519016	89.4
219	1159.62926829268	92.4585365853658	41
220	1167.54910714286	1097.86607142857	44.8
221	1183.45806451613	516.236559139785	93
222	1179.58558558559	1243.8963963964	    44.4
223	1180.73410404624	1203.87283236994	34.6
224	1188.28712871287	548.111386138614	80.8
225	1187.04634146341	584.651219512195	82
226	1202.87387387387	692.663663663664	66.6
227	1203.01081081081	1113.38648648649	74
228	1212.22260273973	1130.43835616438	58.4
229	1230.86725663717	364.768436578171	135.6
230	1224.58986175115	869.013824884793	43.4
231	1224.17567567568	84.195945945946	    29.6
232	1234.31979695431	1199.58375634518	39.4
233	1238.25403225806	979.278225806452	49.6
234	1247.53072625698	344.335195530726	107.4
235	1254.62051282051	749.333333333333	117
236	1251.82745098039	1102.74509803922	51
237	1265.24555160142	658.64768683274	    56.2
238	1266.35918367347	1158.22040816327	49
